饱 嗝,打 饱 嗝
答 话 不 清 讷 吃 现 象,答 话 言 语 不 清
带 环 后 阴 道 异 常 出 血,上 环 后 阴 道 出 血
脚 底 脱 皮,脚 板 脱 皮
腹 痛,肚 子 疼 痛
腹 痛,肚 子 疼
腹 痛,肚 子 痛
腹 痛,腹 部 痛
腹 痛,腹 部 疼 痛
腹 部 疼 痛,腹 痛
肚 子 疼 痛,腹 痛
肚 子 疼,腹 痛
腹 部 疼 痛,肚 子 痛
腰 痛,腰 部 疼 痛
腰 疼,腰 部 疼 痛
腰 部 疼 痛,腰 痛
腰 部 疼 痛,腰 疼
轻 微 头 疼,头 部 轻 微 疼 痛
重 度 头 痛,头 部 重 度 疼 痛
头 部 疼 痛 频 繁,头 痛 频 发
头 痛 剧 烈,头 部 疼 痛 剧 烈
头 疼,头 痛
脑 袋 疼 痛 频 繁,头 痛 频 发
头 痛 剧 烈,脑 袋 疼 痛 剧 烈
脑 袋 疼,头 痛
头 痛,脑 袋 疼
脑 袋 疼,头 疼
头 疼,脑 袋 疼
长 期 尿 床,长 期 遗 尿
长 期 遗 尿,长 期 尿 床
拉 肚 子,腹 泻
手 臂 疼 痛,胳 膊 疼
肢 寒 畏 冷,肢 冷 畏 寒
左 臂 疼 痛,左 手 臂 疼
左 胳 膊 痛,左 臂 膀 疼 痛
左 手 手 臂 疼 痛,左 臂 疼
右 臂 疼,右 手 臂 疼 痛
右 胳 膊 疼 痛,右 臂 膀 痛
右 手 手 臂 疼 痛,右 臂 疼 痛
右 肘 痛,右 手 肘 疼
右 手 肘 疼,右 手 手 肘 疼 痛
左 手 腕 疼 痛,左 腕 疼
左 腕 部 疼 痛,左 手 腕 部 痛
左 手 手 腕 痛,左 腕 部 疼 痛
左 手 掌 肿 胀,左 掌 肿 胀
左 手 手 掌 肿 胀,左 手 掌 肿 胀
右 手 掌 疼 痛,右 掌 疼
右 手 手 掌 疼,右 手 掌 疼 痛
颈 部 疼,脖 子 疼 痛
脖 子 粗,颈 部 粗
手 掌 掌 侧 肿 胀,掌 心 肿 胀
手 掌 背 侧 肿 胀,掌 背 肿 胀
苔 白,舌 苔 白
苔 黄,舌 苔 黄
手 肘 疼 痛,肘 部 疼 痛
胳 膊 肘 疼 痛,手 肘 疼 痛
肘 部 疼 痛,胳 膊 肘 疼 痛
