癌 症 晚 期 胃 肠 道 症 状,不 稳 定 性 心 绞 痛
面 容 异 常,持 续 性 中 度 疼 痛 肿 胀
面 容 异 常,患 侧 皮 肤 红 肿 疼 痛
肿 胀,上 腹 部 隐 痛 不 适
肿 胀,反 复 少 量 阴 道 出 血
耳 廓 畸 形,头 皮 局 部 红 肿 热 痛
耳 廓 畸 形,局 部 皮 肤 红 肿 热 痛
呼 吸 困 难,肘 部 剧 烈 疼 痛 肿 胀
呼 吸 困 难,局 部 疼 痛 肿 胀
呼 吸 困 难,局 部 有 隐 痛
肥 大,右 上 腹 隐 痛
精 神 异 常,肠 痉 挛 肢 体 疼 痛
精 神 异 常,周 身 关 节 肌 肉 酸 痛
精 神 异 常,眼 睑 皮 肤 红 肿
精 神 异 常,肝 脾 淋 巴 结 肿 大
精 神 异 常,持 续 性 腰 痛 伴 有 晨 僵
牙 龈 异 常,肾 前 性 少 尿 或 无 尿
牙 龈 异 常,圆 形 或 卵 圆 形 丘 疹 或 结 节
疼 痛,一 过 性 发 热 及 黄 疸
疼 痛,皮 肤 刺 痛 瘙 痒 并 伴 有 荨 麻 疹
疼 痛,左 上 腹 肿 块 伴 有 呕 血 与 黑 便
肿 胀,肌 疲 劳 和 肌 无 力
肿 胀,间 歇 性 隐 痛 或 钝 痛
